name,screenSize,storageSize,cellularConnectivity,supportedNetworks,rearCamera,memory,price,brand,category,system,rating,availability
Apple iPhone 13 Pro Max,6.7 inches,128/256/512 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,6GB,1999,Apple,Phone,IOS,,
Apple iPhone 13 Pro,6.1 inches,128/256/512 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,6GB,1799,Apple,Phone,IOS,,in stock
Apple iPhone 13 ,6.1 inches,128/256/512 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Dual Rear Camera,4GB,1399,Apple,Phone,IOS,,out of stock
Apple iPhone 13 mini  ,5.4 inches,128/256/512 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Dual Rear Camera,4GB,1249,Apple,Phone,IOS,,
Apple iPhone 12 Pro Max,6.7 inches,256/512 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,4GB,2099,Apple,Phone,IOS,,
Apple iPhone 12 Pro,6.1 inches,256/512 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,4GB,2099,Apple,Phone,IOS,,
Apple iPhone 12 ,6.1 inches,64/128/256 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Dual Rear Camera,4GB,1419,Apple,Phone,IOS,,
Apple iPhone 12 mini  ,5.4 inches,64/128/256 GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Dual Rear Camera,4GB,1028,Apple,Phone,IOS,,
Apple iPhone 11,6.1 inches,64/128/256 GB,4G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Dual Rear Camera,4GB,1128,Apple,Phone,IOS,,
Apple iPhone XR,6.1 inches,64/128/256 GB,4G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Single Rear Camera,3GB,799,Apple,Phone,IOS,,
Apple iPhone SE,4.7 inches,64/128/256 GB,4G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Single Rear Camera,3GB,749,Apple,Phone,IOS,,
Samsung Galaxy Z Fold2,7.6 inches,256GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,12GB,3399,Samsung ,Phone,Android,,
Samsung Galaxy Z Fold3,7.6 inches,256GB,5G / 5G (Dual SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,12GB,2899,Samsung ,Phone,Android,,
Samsung Galaxy Z Flip,6.7 inches,256GB,5G (Single SIM),"Vodafone, 2degrees, Spark, Skinny",Dual Rear Camera,8GB,2299,Samsung ,Phone,Android,,
Samsung Galaxy Note20 Ultra,6.9 inches,256GB,5G / 4G (Dual SIM),"Vodafone, 2degrees, Spark, Skinny",Triple Rear Camera,12GB,2299,Samsung ,Phone,Android,,
Samsung Galaxy S20 Ultra,6.9 inches,128GB,5G / 5G (Dual SIM),"Vodafone, 2degrees, Spark, Skinny",Quad Rear Camera,12GB,2199,Samsung ,Phone,Android,,
Samsung Galaxy S21 Ultra,6.9 inches,250GB,5G / 4G (Dual SIM),"Vodafone, 2degrees, Spark, Skinny",Quad Rear Camera,12GB,2199,Samsung ,Phone,Android,,
